"ARGUMENTO","CDPRO","PARAMETRO"
"BLH                           ",1865,"170"
"BLH                           ",5448,"180"
"BLH                           ",7593,"150"
"BLH                           ",7594,"61"
"BLH                           ",8714,"140"
"BLH                           ",12345,"370"
"BLH                           ",17041,"150"
"BLH                           ",24158,"28"
"BLH                           ",25225,"170"
"BLH                           ",26374,"370"
"BLH                           ",26769,"99"
"BLH                           ",27415,"170"
"BLH                           ",30495,"170"
"BLH                           ",30993,"170"
"BLH                           ",31499,"170"
"BLH                           ",31837,"160"
"BLH                           ",31919,"99"
"BLH                           ",31949,"160"
"BLH                           ",31955,"99"
"BLH                           ",31956,"160"
"BLH                           ",31957,"160"
"BLH                           ",31958,"160"
"BLH                           ",31959,"160"
"BLH                           ",31960,"99"
"BLH                           ",31961,"150"
"BLH                           ",31968,"80"
"BLH                           ",31985,"160"
"BLH                           ",32017,"170"
"BLH                           ",32136,"99"
"BLH                           ",32251,"200"
"BLH                           ",32477,"200"
"BLH                           ",32479,"400"
"BLH                           ",32481,"300"
"BLH                           ",32485,"200"
"BLH                           ",32488,"100"
"BLH                           ",32492,"300"
"BLH                           ",32494,"500 BLH"
"BLH                           ",32962,"170"
"BLH                           ",33205,"160"
"BLH                           ",33860,"150"
"BLH                           ",33932,"100"
"BLH                           ",33974,"100"
"BLH                           ",34047,"80"
"BLH                           ",34048,"100"
"BLH                           ",35540,"480"
"BLH                           ",35614,"100"
"BLH                           ",35783,"122"
"BLH                           ",35879,"100"
"BLH                           ",35918,"180"
"BLH                           ",35987,"140"
"BLH                           ",36357,"150"
"BLH                           ",36373,"160"
"BLH                           ",36409,"100"
"BLH                           ",37009,"100"
"BLH                           ",38440,"80"
"BLH                           ",38648,"160"
"BLH                           ",38649,"170"
"BLH                           ",38651,"999"
"BLH                           ",38653,"99"
"BLH                           ",38654,"99"
"BLH                           ",38655,"140"
"BLH                           ",38656,"150"
"BLH                           ",38657,"61"
"BLH                           ",38658,"170"
"BLH                           ",38661,"100"
"BLH                           ",38662,"99"
"BLH                           ",38663,"99"
"BLH                           ",38664,"99"
"BLH                           ",38665,"99"
"BLH                           ",38666,"100"
"BLH                           ",38667,"99"
"BLH                           ",38668,"170"
"BLH                           ",38669,"180"
"BLH                           ",38670,"170"
"BLH                           ",38922,"76"
"BLH                           ",39131,"100"
"BLH                           ",40227,"170"
"BLH                           ",40246,"130"
"BLH                           ",40286,"130"
"BLH                           ",40610,"90"
"BLH                           ",41031,"122"
"BLH                           ",41056,"170"
"BLH                           ",41062,"110"
"BLH                           ",41064,"120"
"BLH                           ",41065,"110"
"BLH                           ",41066,"100"
"BLH                           ",41393,"150"
"BLH                           ",41466,"160"
"MLH                           ",1865,"170000"
"MLH                           ",5448,"180000"
"MLH                           ",7593,"150000"
"MLH                           ",7594,"61000"
"MLH                           ",8714,"140000"
"MLH                           ",17041,"150000"
"MLH                           ",24158,"28000"
"MLH                           ",25225,"170000"
"MLH                           ",26769,"99000"
"MLH                           ",27415,"170000"
"MLH                           ",30495,"170000"
"MLH                           ",30993,"170000"
"MLH                           ",31499,"170000"
"MLH                           ",31837,"160000"
"MLH                           ",31949,"160000"
"MLH                           ",31955,"99000"
"MLH                           ",31956,"160000"
"MLH                           ",31957,"160000"
"MLH                           ",31958,"160000"
"MLH                           ",31959,"160000"
"MLH                           ",31960,"99000"
"MLH                           ",31961,"150000"
"MLH                           ",31968,"80000"
"MLH                           ",31985,"160000"
"MLH                           ",32017,"170000"
"MLH                           ",32126,"99000"
"MLH                           ",32136,"99000 "
"MLH                           ",32962,"170000"
"MLH                           ",33205,"160000     "
"MLH                           ",33860,"150000"
"MLH                           ",33932,"100000"
"MLH                           ",33974,"100000"
"MLH                           ",34047,"80000"
"MLH                           ",34048,"100000"
"MLH                           ",35540,"480000"
"MLH                           ",35783,"122000"
"MLH                           ",35879,"100000"
"MLH                           ",35918,"180000"
"MLH                           ",35985,"99000"
"MLH                           ",36357,"150000"
"MLH                           ",36373,"160000"
"MLH                           ",36409,"100000"
"MLH                           ",37009,"100000"
"MLH                           ",38648,"160000"
"MLH                           ",38649,"170000"
"MLH                           ",38651,"999000"
"MLH                           ",38653,"99000"
"MLH                           ",38654,"99000"
"MLH                           ",38655,"140000"
"MLH                           ",38656,"150000"
"MLH                           ",38657,"61000"
"MLH                           ",38658,"170000"
"MLH                           ",38661,"100000"
"MLH                           ",38662,"99000"
"MLH                           ",38663,"99000"
"MLH                           ",38664,"99000"
"MLH                           ",38665,"99000"
"MLH                           ",38666,"100000"
"MLH                           ",38667,"99000"
"MLH                           ",38668,"170000"
"MLH                           ",38669,"180000"
"MLH                           ",38670,"170000"
"MLH                           ",38922,"76000"
"MLH                           ",39131,"100000"
"MLH                           ",40227,"170000"
"MLH                           ",40246,"130000"
"MLH                           ",40286,"130000"
"MLH                           ",40610,"90000"
"MLH                           ",41031,"122000"
"MLH                           ",41056,"170000"
"MLH                           ",41062,"110000"
"MLH                           ",41064,"120000"
"MLH                           ",41065,"110000"
"MLH                           ",41066,"100000"
"MLH                           ",41393,"150000"
"MLH                           ",41466,"160000"
"UI                            ",1463,"31593"
"UI                            ",2621,"3000"
"UI                            ",3006,"40000000"
"UI                            ",3342,"5563"
"UI                            ",3343,"106000"
"UI                            ",4159,"1000"
"UI                            ",4335,"40000000"
"UI                            ",4502,"1000"
"UI                            ",6570,"40000"
"UI                            ",21092,"400000"
"UI                            ",21355,"2382000"
"UI                            ",21601,"2500000"
"UI                            ",22014,"15000"
"UI                            ",24486,"33004"
"UI                            ",24720,"111043"
"UI                            ",27452,"1000"
"UI                            ",27580,"1000"
"UI                            ",27853,"40000000"
"UI                            ",28512,"500000"
"UI                            ",28539,"9360"
"UI                            ",28570,"1000"
"UI                            ",28571,"40000000"
"UI                            ",29260,"400000"
"UI                            ",29302,"1000"
"UI                            ",29303,"1000"
"UI                            ",29535,"1000"
"UI                            ",30158,"7150000"
"UI                            ",30348,"10000000"
"UI                            ",30532,"20500"
"UI                            ",30712,"1000"
"UI                            ",31064,"52400"
"UI                            ",31144,"5200"
"UI                            ",31144,"6000"
"UI                            ",31770,"6201"
"UI                            ",31880,"1280"
"UI                            ",32420,"1000"
"UI                            ",33281,"5823500"
"UI                            ",33545,"400000"
"UI                            ",34979,"114532"
"UI                            ",34980,"114532"
"UI                            ",35512,"1042118"
"UI                            ",35517,"1042118"
"UI                            ",38003,"40000000"
"UI                            ",38158,"15000"
"UI                            ",38247,"758"
"UI                            ",38282,"5000"
"UI                            ",38285,"103375"
"UI                            ",38460,"100950"
"UI                            ",38573,"1000000"
"UI                            ",38930,"40000000"
"UI                            ",39328,"1000"
"UI                            ",39331,"47000"
"UI                            ",39398,"40000000"
"UI                            ",40280,"208000"
"UI                            ",40412,"14500000"
"UI                            ",41391,"1670000"
"UI                            ",41561,"1000"
"UI                            ",41612,"1000"
"UI                            ",41626,"43887"
"UI                            ",51070,"1667000"
"UI                            ",51962,"500"
"UI                            ",52670,"950000"
"UI                            ",52681,"1000000"
"UI                            ",54136,"220000"
"UI                            ",54781,"2497"
"UI                            ",54938,"680000"
"UI                            ",54987,"6028000"
"UI                            ",55451,"258900"
"UI                            ",55517,"502000"
"UI                            ",55580,"1000"
"UI                            ",55888,"6720000"
"UI                            ",57009,"350000"
"UI                            ",57058,"895000"
"UI                            ",57113,"1000000"
"UI                            ",57769,"1000000"
"UI                            ",57770,"500000"
"UI                            ",57794,"1000"
"UI                            ",57800,"1000"
"UI                            ",61438,"10000000"
"UI                            ",61451,"160000"
"UI                            ",62194,"52600"
"UI                            ",63370,"444.44444"
"UI                            ",63381,"300000"
"UI                            ",63459,"100000"
"UI                            ",69176,"20000"
"UTR                           ",26689,"350000"
"UTR                           ",51962,"500"
"UTR                           ",52681,"1000000"
"UTR                           ",54136,"220000"
"UTR                           ",57009,"350000"
"UTR                           ",63370,"444.44444"
"UTR                           ",63381,"300000"
